t,flow,rainfall
0,8211.80542,0
1,8645.833496,0
2,8437.5,0
3,8570.602051,0
4,8304.398438,0
5,8437.5,0
6,8287.036865,3.6
7,8434.606445,0
8,8530.092773,0
9,8414.351563,0
10,8506.944824,0
11,8353.587891,0
12,8113.425781,0
13,8321.759766,0
14,8240.740723,0
15,8339.120605,0
16,8168.402832,0
17,8310.185059,0
18,8495.370605,0
19,8055.555664,0
20,8289.930664,0
21,8171.296387,0
22,8211.805664,0
23,8194.444336,0
24,8735.532227,0
25,8738.425781,0
26,8764.467285,0
27,8668.981445,0
28,8686.342285,0
29,8761.574219,0
30,8750,0
31,8787.616211,0
32,8949.652832,0
33,8498.263672,0
34,8564.814453,0
35,8651.620117,0
36,8668.981445,0
37,8547.453613,0
38,8614.004883,0
39,8593.75,0
40,8342.013672,0
41,8339.120605,0
42,8373.842773,0
43,8191.550537,0
44,8396.990723,0
45,8350.694824,0
46,8284.143555,0
47,8385.416992,0
48,8324.652344,0
49,8732.63916,0
50,8770.254883,0
51,8585.069824,0
52,8585.069336,0
53,8573.495605,0
54,8755.787109,0
55,8680.555664,0
56,8530.092773,0
57,8570.602051,0
58,8414.351563,0
59,8266.782715,0
60,8463.541992,0
61,8272.569336,0
62,8330.439697,0
63,8347.80127,0
64,8457.754883,0
65,8272.569336,0
66,8220.48584,0
67,8119.212891,0
68,8032.407471,0
69,8049.768555,0
70,7994.791504,0
71,8084.490967,0
72,8090.278076,0
73,7980.324219,0
74,7902.198975,0
75,7792.245605,0
76,7968.75,0
77,8032.407471,0
78,8090.277832,0
79,8087.384033,0
80,8026.620361,0
81,8648.727051,0
82,8761.574219,0
83,8695.022949,0
84,8637.152832,0
85,8773.147949,0
86,8666.087891,0
87,8726.851563,0
88,8697.916504,0
89,8535.879883,0
90,8425.925781,0
91,8243.634277,0
92,8249.421387,0
93,8336.227051,0
94,8208.912109,0
95,7991.898438,0
96,8041.087891,0
97,8072.916748,0
98,8093.171387,0
99,8243.634033,0
100,8127.893311,0
101,8350.694336,0
102,8440.393555,0
103,8723.958008,0
104,8411.458496,0
105,8530.092773,0
106,8608.217773,0
107,8420.13916,0
108,8466.435059,0
109,8405.671387,0
110,8509.837891,0
111,8483.796387,0
112,8278.356445,0
113,8234.953857,0
114,8333.333252,0
115,8292.824219,0
116,8278.356445,0
117,8307.291504,0
118,8330.439941,0
119,7997.685059,0
120,8029.513428,0
121,7997.685059,0
122,8234.953613,0
123,8142.361328,0
124,8547.453613,0
125,8333.33374,0
126,8776.041504,0
127,8804.977051,0
128,8579.282227,0
129,8648.726563,0
130,8362.268555,0
131,8556.134277,0
132,8605.32373,0
133,8443.287109,0
134,8368.055176,0
135,8394.097656,0
136,8339.120117,0
137,8434.606445,0
138,8394.097168,0
139,8321.759277,0
140,8234.953613,0
141,8220.48584,0
142,8321.759277,0
143,8275.463379,0
144,8087.384521,0
145,7876.157471,0
146,8020.833496,0
147,7832.754639,0
148,7705.439941,0
149,7850.115967,0
150,7980.323975,0
151,8266.782715,0
152,8391.203857,0
153,8217.592773,0
154,8197.338135,0
155,8203.125244,0
156,8463.541504,2
157,8411.458008,0.8
158,8373.842773,0
159,8466.435059,0.6
160,8249.421387,0.7
161,8191.551025,0
162,8266.782227,0
163,8266.782471,0
164,8402.777832,0
165,8370.949219,0
166,8370.949219,0
167,8796.296387,0.7
168,9537.037109,7.2
169,9817.708496,2.4
170,8379.629639,1.8
171,8532.986084,2.4
172,8515.625244,15.2
173,9134.837891,7.7
174,9623.842285,6.3
175,10063.65771,0.2
176,10078.125,0.3
177,10060.76416,0
178,9933.449219,0.5
179,9635.416504,0.6
180,9592.01416,0.1
181,9641.204102,0
182,9522.569336,0
183,9586.227051,0
184,9516.782715,0
185,9467.592285,0
186,9340.278076,0
187,9302.661377,0
188,9152.199219,0
189,9195.601807,0
190,9285.30127,0
191,8993.05542,0
192,9033.564941,0
193,8689.23584,0
194,8561.921387,0
195,10376.15674,0
196,10037.61621,0
197,9858.217285,0.4
198,9748.264648,0
199,9554.397949,0
200,9473.379395,0
201,9458.912109,0
202,9673.031738,0
203,10376.15723,1.8
204,9241.897949,0.1
205,9670.138672,0
206,10104.1665,0
207,9898.726563,0
208,9846.643555,1.2
209,9678.818848,4.9
210,9762.731445,0.8
211,9701.967285,2.4
212,9751.157227,5.6
213,9464.699707,0.6
214,9890.045898,0.1
215,10037.61572,0
216,10384.83838,0
217,8883.101563,0
218,9230.32373,0
219,9435.76416,0
220,9276.620117,0
221,9369.213379,0
222,9256.365723,0
223,9296.875,0
224,9048.032471,0
225,9105.902588,0
226,9256.365723,0
227,9189.814941,0
228,9363.42627,0
